Day,series-1,series-2,series-3,series-4,series-5,series-6,series-7,series-8,series-9,series-10,series-11,series-12,series-13,series-14,series-15,series-16,series-17,series-18,series-19,series-20,series-21,series-22,series-23,series-24,series-25,series-26,series-27,series-28,series-29,series-30,series-31,series-32,series-33,series-34,series-35,series-36,series-37,series-38,series-39,series-40,series-41,series-42,series-43,series-44,series-45,series-46,series-47,series-48,series-49,series-50,series-51,series-52,series-53,series-54,series-55,series-56,series-57,series-58,series-59,series-60,series-61,series-62,series-63,series-64,series-65,series-66,series-67,series-68,series-69,series-70,series-71,series-72
2015-07-01,202390,254862,2350,2496,91913,130162,85429,103304,105831,66813,17619,23161,517401,702908,744379,981453,690803,387606,5459,7823,395879,222580,316570,155514,159572,259518,2402,2996,110284,80175,82606,45670,367579,415758,3032,3543,151662,149119,265076,293291,12992,18647,2632,3021,12885,17749,580,666,286699,378069,5234,6756,188414,117712,101410,169865,31920,50324,649,785,20926,3613,3436,11108,125395,161629,5193,3687,81102,99629,47638,58173
2015-07-02,188759,257107,2453,2801,83272,124324,92778,107094,117642,66469,14747,18773,491760,719903,647246,946661,618566,357467,4758,6868,381501,212623,267960,150652,164087,256828,1819,2235,108893,82453,82294,51256,330595,516506,2096,2697,132479,152696,217932,279869,13578,20717,3731,4530,13165,19333,811,1091,292100,382987,4217,5409,194162,114857,100217,158799,26481,52886,561,877,21552,3806,3415,11293,127544,156566,3466,3336,99204,100055,43769,56225
2015-07-03,189827,271532,2271,2334,75505,118987,101119,128569,101796,60212,13737,17824,455102,640204,652811,979861,563501,342256,4611,5906,305618,185588,261061,148913,176816,243258,2518,2717,106310,77101,88134,52332,377751,459082,2606,2776,122852,148501,243302,304259,11942,18354,2888,3837,11348,17452,827,1174,293987,382880,4651,5418,188885,120084,104505,161498,25143,50406,720,973,19757,3427,3744,11838,124072,158922,4001,3602,75122,101869,45322,58668
2015-07-04,246934,275054,2675,2717,63605,104811,128251,176962,100492,59289,14174,17290,435568,597161,763316,1109087,596376,459400,4356,6451,225913,156399,372937,230944,182230,269771,2939,3092,98586,74772,121462,65418,451864,594905,3435,3793,120185,157259,340371,453943,10569,16535,3951,6444,9339,14979,1299,1606,304293,410129,5627,6965,175722,113789,136961,189173,23083,48382,735,1174,18038,3264,5865,12219,123389,177437,4545,3818,73199,95833,56482,70845
2015-07-05,295857,373692,2054,2576,92536,130073,184291,208665,109358,63007,15619,18878,456030,681141,861600,1176116,680780,461724,5165,7351,277446,174754,374860,204307,209010,303054,2429,2806,114687,92661,119384,66287,428777,511117,3195,3519,114779,140729,301226,430059,12978,19536,5822,9201,11775,17714,1379,1727,323506,413863,5038,6376,185440,118259,133120,200586,30678,51685,559,684,17738,2688,4788,12959,129389,190216,5482,4357,101949,108370,58086,75549
2015-07-06,234229,309619,2306,2605,104735,143388,110375,136834,119922,70241,12336,16621,584330,809460,1020603,1063857,695358,413014,3821,5032,363047,231229,307870,185581,183129,261920,2308,2406,130220,115377,129664,53695,379140,442109,2378,2595,120322,153254,223533,319483,15785,25006,6360,9995,14826,23121,1600,2140,321944,479565,3979,4758,204612,136005,135936,180677,27997,57330,559,636,23301,5038,3669,12166,120753,216631,2990,2119,80398,111195,43224,59065
2015-07-07,218956,316479,2380,2353,98057,143350,103567,134164,111523,70920,17614,21193,545607,797507,686032,982002,615675,385278,5066,6329,362581,222196,283554,153359,170697,248765,2409,2670,124314,92541,97102,56656,384876,515800,2629,2897,141486,146678,293292,408124,16610,26204,5423,8981,15854,24283,1374,1898,332792,468942,4509,5850,200107,122185,121138,178277,31278,86284,737,921,25355,3800,5762,11875,125769,167229,3613,3066,81987,110731,44979,59542
2015-07-08,232906,320125,2592,2818,113834,158370,98201,126026,108149,68372,19527,25212,565478,861316,688128,980893,606403,379671,6998,8574,365344,219740,267894,147090,183334,243493,2804,3167,120289,97083,95861,60681,383877,456800,3455,4098,140044,151842,252069,334803,13293,22957,3160,3795,12506,22228,1175,1181,312917,439612,7291,8568,195500,130892,135888,184518,26351,84213,957,1085,22773,3441,3252,11407,137360,164158,4773,4071,84014,116376,43195,61284
2015-07-09,217477,313023,2886,3258,106320,153300,92956,122291,105605,68065,22127,26694,547222,900542,744234,983202,576145,379113,6882,8360,349794,240590,265361,157436,186080,250726,3443,3203,119077,112931,91563,85178,374213,457126,3711,4696,119220,154507,263307,327869,11249,18120,1516,1471,10497,16703,967,1007,326906,472167,6939,8563,204054,140665,120930,204499,24857,72092,945,1066,20602,3295,3138,11839,132103,180369,7273,6183,82184,124000,46830,65426
2015-07-10,216496,288133,2850,3035,95019,128988,105860,140982,100459,64717,17185,21151,575821,719296,751119,1001917,521423,352090,5508,7283,307843,206074,245925,146669,167806,233573,2326,2479,110827,92963,88833,59930,351314,620881,3825,4126,121636,150211,219952,447113,11068,21416,1174,1691,10495,20231,863,1045,409849,535569,6063,7894,239352,171933,159626,220102,24269,51631,901,1071,20812,3367,3616,11772,145522,186245,5880,4821,85808,119219,59367,75136
2015-07-11,210758,328236,2536,2866,72213,131296,188046,171466,95938,58318,15915,19371,568813,728371,1019209,1445418,485143,351247,5112,6415,245116,169145,268742,176213,177998,263060,2169,2208,98838,74413,106626,68362,368288,526536,3432,3715,107258,134550,264890,415514,7367,12593,1063,1534,6474,10663,898,1024,369216,507438,4937,6005,215772,152598,151555,231859,24000,46973,852,1026,17438,3274,3499,14105,139275,173427,5335,4375,74148,115469,68006,74960
2015-07-12,268473,400624,2333,2670,87120,156057,297514,181085,106774,61333,15993,16574,703628,767004,1157029,1525349,606443,400913,4958,6251,286251,187602,320905,196469,239547,337961,2172,2286,117105,81052,134991,88440,390725,519100,3024,3300,109455,131927,270199,403674,7484,13242,1117,1558,6609,11114,858,1012,409984,545657,5499,6786,244843,177004,175130,252560,24240,47964,517,651,17964,3219,3870,13431,147552,201624,4106,3155,83597,123409,60429,78325
2015-07-13,268246,398095,2862,3049,113893,236418,137478,131411,113036,69043,17336,23298,866325,937708,837516,1156224,650218,442278,6042,8221,394289,243740,330911,166413,212211,293255,3177,3399,118448,89173,109558,64842,403100,443064,3103,3928,123167,154647,235612,347648,11099,17192,1658,2074,10538,16273,769,823,397908,522036,5021,6609,257828,175873,145968,204919,27944,54245,688,880,24275,3643,3623,12261,138901,175369,5668,4443,84682,133552,45283,67155
2015-07-14,231212,334462,2848,3323,129833,175138,105234,117796,127705,68185,16090,20953,968099,1054339,917042,1055926,741380,546853,5148,6827,483296,346084,336242,161949,215091,355296,2578,2862,122763,89175,115384,76854,342555,456111,3075,3388,118725,141432,210096,325378,12892,18476,1443,1790,12391,16651,909,1081,383046,518887,4740,6120,253979,172441,137807,205116,36076,57374,729,937,31606,3746,4018,12748,128099,183710,5408,4768,79950,142315,45952,62018
