,0
1,8.149700103
2,9.201425849
3,9.663811416
4,8.712847723
5,8.307889758
6,5.60124385
7,10.31671011
8,15.30360216
9,7.852092005
10,9.569145437
11,11.65754662
12,8.942159456
13,6.623855554
14,6.626920184
15,7.385597187
16,5.29975262
17,8.056138085
18,7.144839671
19,70.65414313
20,88.50831848
21,12.45457246
22,7.711393211
23,12.08072851
24,5.658223927
25,12.38990678
26,6.925917111
27,7.923567114
28,11.06476468
29,5.475398819
30,8.070372911
31,11.10212678
32,16.99081183
33,17.34649588
34,20.28412019
35,10.99938063
36,23.26329014
37,10.38880464
38,15.17484172
39,19.36448997
40,20.57787611
41,21.57353205
42,25.92919552
43,19.67070602
44,23.1019441
45,25.11297194
46,29.92242231
47,11.26352548
48,10.12985567
49,5.137346312
50,7.533402597
51,12.56466487
52,8.403230264
53,6.035321385
54,3.533344192
55,7.269136543
56,6.293969394
57,11.64102686
58,10.22278701
59,18.51936378
60,14.38629292
61,5.496129499
62,8.640105863
63,6.012822288
64,7.044665474
65,5.54434002
66,6.313097503
67,16.43243187
68,16.72786047
69,3.952725061
70,5.377007753
71,10.19686835
72,13.72193873
