Id,forecasts
s1h1,265423.2742362411
s1h2,233141.4169414199
s1h3,225172.9060287461
s1h4,232885.1698215386
s1h5,230956.5096313801
s1h6,244170.9067148867
s1h7,262929.3866252668
s1h8,253143.4248140982
s1h9,222970.0579912164
s1h10,222632.26686317936
s1h11,233615.53533145323
s1h12,222113.10141417253
s1h13,233891.68459427706
s1h14,252206.84040070896
s1h15,247022.3365908728
s1h16,220314.9662342359
s1h17,217203.9128704385
s1h18,229076.79403099453
s1h19,219745.86538227636
s1h20,241895.63354401075
s1h21,262962.5660722139
s2h1,362086.14056510327
s2h2,324102.4134791113
s2h3,315218.29751159326
s2h4,328205.4686717576
s2h5,328855.99285860365
s2h6,335100.7925766855
s2h7,372611.4428055074
s2h8,351863.14660554816
s2h9,316402.90850974264
s2h10,318096.09875901765
s2h11,320400.79384430987
s2h12,313257.98221984087
s2h13,328294.04064682947
s2h14,367763.0452079826
s2h15,341821.20126739854
s2h16,316019.9603818868
s2h17,310221.87411061715
s2h18,309557.7151085162
s2h19,298582.3770885015
s2h20,314131.4082724883
s2h21,349679.197961764
s3h1,2724.2326100456976
s3h2,2720.6300395966814
s3h3,2599.0853158395666
s3h4,2492.227209030456
s3h5,2757.4478870650964
s3h6,2884.190591410146
s3h7,2789.71865177716
s3h8,2773.820109067966
s3h9,2670.870403889101
s3h10,2614.0518293628156
s3h11,2534.334605153362
s3h12,2769.57344487449
s3h13,2831.833967032582
s3h14,2639.4079520095793
s3h15,2701.1008868838735
s3h16,2731.4071937754366
s3h17,2658.5068395332037
s3h18,2545.0387429094553
s3h19,2800.112906588529
s3h20,2861.435259399609
s3h21,2784.537574588478
s4h1,3486.7891872463315
s4h2,3400.611579056585
s4h3,3130.5190779162276
s4h4,2915.7445311721963
s4h5,3170.901300068173
s4h6,3430.1549816478396
s4h7,3318.808610623931
s4h8,3428.9995767980117
s4h9,3189.201302355078
s4h10,3048.4174650311434
s4h11,2989.053637877114
s4h12,3227.536500763801
s4h13,3377.5409775188014
s4h14,3273.845895054481
s4h15,3340.1951778663943
s4h16,3244.300425105188
s4h17,3123.014830552921
s4h18,2884.9343311548673
s4h19,3164.171106352779
s4h20,3356.9344660572174
s4h21,3368.686084880048
s5h1,109019.13001277825
s5h2,103458.73466356838
