Id,forecasts
s1h1,280688.0
s1h2,246816.0
s1h3,259646.0
s1h4,267672.0
s1h5,242487.0
s1h6,255898.0
s1h7,259640.0
s1h8,244651.5
s1h9,236856.0
s1h10,234549.0
s1h11,231981.0
s1h12,223828.0
s1h13,222815.0
s1h14,237156.0
s1h15,233265.0
s1h16,238390.0
s1h17,218756.0
s1h18,226905.0
s1h19,213989.0
s1h20,226459.0
s1h21,228290.0
s2h1,327508.0
s2h2,364696.0
s2h3,370128.0
s2h4,372205.0
s2h5,322420.0
s2h6,326211.0
s2h7,337712.0
s2h8,361863.0
s2h9,328750.0
s2h10,320541.0
s2h11,321686.0
s2h12,293500.0
s2h13,308733.0
s2h14,312692.0
s2h15,318972.0
s2h16,326266.0
s2h17,314315.0
s2h18,312136.0
s2h19,303212.0
s2h20,317403.0
s2h21,367200.0
s3h1,2455.0
s3h2,2871.0
s3h3,3280.0
s3h4,2458.0
s3h5,2815.0
s3h6,2509.0
s3h7,3039.0
s3h8,2924.0
s3h9,3184.0
s3h10,2560.0
s3h11,2464.0
s3h12,2788.0
s3h13,2814.0
s3h14,2897.0
s3h15,2731.0
s3h16,3268.0
s3h17,2304.0
s3h18,3357.0
s3h19,3063.0
s3h20,2878.0
s3h21,2975.0
s4h1,3270.0
s4h2,3714.0
s4h3,3841.0
s4h4,2834.0
s4h5,3281.0
s4h6,3045.0
s4h7,3701.0
s4h8,3306.0
s4h9,3687.0
s4h10,2992.0
s4h11,2940.0
s4h12,3117.0
s4h13,3282.0
s4h14,3539.0
s4h15,3214.0
s4h16,3541.0
s4h17,2746.0
s4h18,3822.0
s4h19,3463.0
s4h20,3086.0
s4h21,3340.0
s5h1,86211.0
s5h2,72553.0
s5h3,86636.0
s5h4,92053.0
s5h5,97889.0
s5h6,106004.0
s5h7,106704.0
s5h8,76280.0
s5h9,70064.0
s5h10,88816.0
s5h11,94822.0
s5h12,95477.0
s5h13,94490.0
s5h14,93433.0
s5h15,74035.0
s5h16,64258.0
s5h17,79612.0
s5h18,85876.0
s5h19,85237.0
s5h20,86376.0
s5h21,107008.0
s6h1,99660.0
s6h2,92918.0
s6h3,115861.0
s6h4,118523.0
s6h5,125805.0
s6h6,115988.0
s6h7,116707.0
s6h8,102349.0
s6h9,96870.0
s6h10,123869.0
s6h11,131519.0
s6h12,118202.0
s6h13,123749.0
s6h14,126928.0
s6h15,109500.0
s6h16,121883.0
s6h17,118177.0
s6h18,131624.0
s6h19,122105.0
s6h20,121661.0
s6h21,126746.0
s7h1,165089.0
s7h2,154269.0
s7h3,127651.0
s7h4,139715.0
s7h5,111503.0
s7h6,133340.0
s7h7,131761.0
s7h8,213180.0
s7h9,193100.0
s7h10,130433.0
s7h11,111837.0
s7h12,99732.0
s7h13,114720.0
s7h14,155554.0
s7h15,190826.0
s7h16,163202.0
s7h17,134314.0
s7h18,123310.0
s7h19,109245.0
s7h20,107828.0
s7h21,117025.0
s8h1,274009.0
s8h2,230646.0
s8h3,217786.0
s8h4,183424.0
s8h5,166141.0
s8h6,199561.0
s8h7,185513.0
s8h8,234077.0
s8h9,190298.0
s8h10,176198.0
s8h11,163987.0
s8h12,164045.0
s8h13,155596.0
s8h14,142549.0
s8h15,164016.0
s8h16,193625.0
s8h17,161285.0
s8h18,152825.0
s8h19,142300.0
s8h20,154390.0
s8h21,159919.0
s9h1,186234.0
s9h2,167486.0
s9h3,167619.0
s9h4,166445.0
s9h5,160374.0
s9h6,169825.0
s9h7,181807.0
s9h8,193088.0
s9h9,176779.0
s9h10,175416.0
s9h11,180938.0
s9h12,215105.0
s9h13,181798.0
s9h14,204128.0
s9h15,184906.0
s9h16,201211.0
s9h17,172158.0
s9h18,167360.0
s9h19,168482.0
s9h20,167719.0
s9h21,171134.0
s10h1,65676.0
s10h2,66384.5
s10h3,66384.5
