Id,forecasts
s1h1,256406.73319521055
s1h2,242932.77190442468
s1h3,221206.6591503624
s1h4,227981.48109505518
s1h5,223491.09326318646
s1h6,237686.2233120051
s1h7,267125.57529326744
s1h8,245334.5164071949
s1h9,236398.66071764097
s1h10,227775.41836710935
s1h11,225025.5133823518
s1h12,223705.18029999282
s1h13,234618.7807505646
s1h14,251708.6063740821
s1h15,228110.02674259926
s1h16,219129.96151527372
s1h17,211809.5449320863
s1h18,212215.5524137125
s1h19,213453.37094102977
s1h20,234970.43075512836
s1h21,281211.9134492339
s2h1,349427.99985831336
s2h2,329702.99014443153
s2h3,329408.1668342554
s2h4,331114.06883654
s2h5,324122.8526403925
s2h6,337603.17733353126
s2h7,390321.76800957654
s2h8,348020.3151448693
s2h9,323021.99113158806
s2h10,342326.29881901207
s2h11,322222.52036823146
s2h12,328182.2388707775
s2h13,330011.4134987586
s2h14,372565.4388066534
s2h15,334394.19768526795
s2h16,308495.1061964587
s2h17,323388.19157469337
s2h18,298177.69963151816
s2h19,297398.2970630697
s2h20,320342.2178172212
s2h21,380709.6936891958
s3h1,2912.803621931367
s3h2,2812.9977352662168
s3h3,2507.608195209356
s3h4,2620.4032520555425
s3h5,2783.6340145552226
s3h6,3094.041633493977
s3h7,2791.6190653381655
s3h8,2890.0195735846637
s3h9,2980.1759731789703
s3h10,2615.8937610249527
s3h11,2644.8370968002932
s3h12,2809.931757640006
s3h13,2930.825847125547
s3h14,2650.047720471449
s3h15,2771.763888923234
s3h16,2785.860740563737
s3h17,2672.1451531140005
s3h18,2734.6932424849992
s3h19,2808.114319101547
s3h20,3027.8400165643952
s3h21,2863.693122500224
s4h1,3722.9862030537847
s4h2,3585.5050617621614
s4h3,3242.822048243101
s4h4,3185.2070249641943
s4h5,3508.7151043555646
s4h6,3830.946014843854
s4h7,3729.303293989825
s4h8,3657.354773874884
s4h9,3595.850289003069
s4h10,3317.0115914628664
s4h11,3187.34083902888
s4h12,3395.0936059224014
s4h13,3696.1030223903454
s4h14,3442.775508728263
s4h15,3458.978537896201
s4h16,3402.8342624363863
s4h17,3374.4286242065946
s4h18,3323.67458052822
s4h19,3393.903567510455
s4h20,3601.078208203673
s4h21,3577.4455070598497
s5h1,103790.09116529295
s5h2,102270.90116257285
s5h3,93509.48708020411
s5h4,91736.14402454924
s5h5,81291.95028895096
s5h6,65383.58053492747
s5h7,80379.84989358437
s5h8,99934.18569103288
s5h9,97164.79241021357
s5h10,92512.41547139837
s5h11,90677.16426257852
s5h12,76759.98975519845
s5h13,61812.95992425314
s5h14,80437.09483203768
s5h15,98308.12455359573
s5h16,93666.5675398798
s5h17,90506.02227493143
s5h18,87044.3662694797
s5h19,72746.13341255799
s5h20,60283.05375998792
s5h21,75233.91830616929
s6h1,123122.94792824516
s6h2,121939.30341953917
s6h3,120665.1667532453
s6h4,116660.31358272863
s6h5,101969.24725629087
s6h6,83140.55078508574
s6h7,96173.33062301716
s6h8,116483.35128977393
s6h9,115185.61610307946
s6h10,115121.84837114408
s6h11,113470.34044019245
s6h12,98250.02540449548
s6h13,78606.53679904893
s6h14,91045.24653030348
s6h15,115044.79493529168
s6h16,109479.38495228744
s6h17,119115.20187055109
s6h18,112409.4499145301
s6h19,90544.3053202951
s6h20,80044.14534690141
s6h21,93225.44255860437
s7h1,128927.3252263384
s7h2,128025.05955696569
s7h3,112281.45379222235
s7h4,110928.59815849637
s7h5,122757.88602144082
s7h6,142328.02679417364
s7h7,151144.68995903377
s7h8,126346.68532847906
s7h9,120772.43843489037
s7h10,109879.40680834616
s7h11,109657.72454829465
s7h12,130684.69571062538
s7h13,149059.9052495962
s7h14,147436.2111520645
s7h15,121289.83127842806
s7h16,112387.92256773541
s7h17,104262.40929686905
s7h18,103441.95489476777
s7h19,126855.81503192698
s7h20,147879.284773838
s7h21,155524.2596278066
s8h1,218758.80276864438
s8h2,187388.9646879101
s8h3,159954.41995134056
s8h4,160968.22997502206
s8h5,176479.57387620074
s8h6,203639.90050359946
s8h7,212840.29734534523
s8h8,179709.77785372752
s8h9,179746.0429463309
s8h10,171639.66073194388
s8h11,153001.12071744702
s8h12,181197.26582650898
s8h13,203674.50549638527
s8h14,192577.32268197145
s8h15,174514.9767998447
s8h16,170174.89398824656
s8h17,157677.21303676418
s8h18,148746.25091620788
s8h19,166501.35683250453
s8h20,209231.382765245
s8h21,211122.24050392726
s9h1,171631.9520948848
s9h2,163099.16417046986
s9h3,177921.25883977607
s9h4,177863.25898344553
s9h5,160828.10549575437
s9h6,160311.04605869533
s9h7,180295.18875938276
s9h8,176518.88528892852
s9h9,170186.43989410796
s9h10,196443.41698316933
s9h11,193580.52145316626
s9h12,165010.0130536971
s9h13,167715.33884318615
s9h14,187133.75642053492
s9h15,166041.84376368189
