Id,forecasts
s1h1,248338.2235211861
s1h2,237634.04451084373
s1h3,227074.6558342839
s1h4,238422.24104552128
s1h5,240357.73838162422
s1h6,238342.73335598223
s1h7,268385.1812494091
s1h8,239541.8567638144
s1h9,231095.39546137955
s1h10,222088.93254130534
s1h11,232733.70547689186
s1h12,235646.85476538003
s1h13,234639.12537340375
s1h14,265947.66276461387
s1h15,236735.00635459286
s1h16,228144.45607264928
s1h17,219096.00885908073
s1h18,229734.5122066131
s1h19,232645.4545006947
s1h20,231644.53933248273
s1h21,261727.11982141127
s2h1,362086.1406
s2h2,324102.4135
s2h3,315218.2975
s2h4,328205.4687
s2h5,328855.9929
s2h6,335100.7926
s2h7,372611.4428
s2h8,351863.1466
s2h9,316402.9085
s2h10,318096.0988
s2h11,320400.7938
s2h12,313257.9822
s2h13,328294.0406
s2h14,367763.0452
s2h15,341821.2013
s2h16,316019.9604
s2h17,310221.8741
s2h18,309557.7151
s2h19,298582.3771
s2h20,314131.4083
s2h21,349679.198
s3h1,2724.23261
s3h2,2720.63004
s3h3,2599.085316
s3h4,2492.227209
s3h5,2757.447887
s3h6,2884.190591
s3h7,2789.718652
s3h8,2773.820109
s3h9,2670.870404
s3h10,2614.051829
s3h11,2534.334605
s3h12,2769.573445
s3h13,2831.833967
s3h14,2639.407952
s3h15,2701.100887
s3h16,2731.407194
s3h17,2658.50684
s3h18,2545.038743
s3h19,2800.112907
s3h20,2861.435259
s3h21,2784.537575
s4h1,3486.789187
s4h2,3400.611579
s4h3,3130.519078
s4h4,2915.744531
s4h5,3170.9013
s4h6,3430.154982
s4h7,3318.808611
s4h8,3428.999577
s4h9,3189.201302
s4h10,3048.417465
s4h11,2989.053638
s4h12,3227.536501
s4h13,3377.540978
s4h14,3273.845895
s4h15,3340.195178
s4h16,3244.300425
s4h17,3123.014831
s4h18,2884.934331
s4h19,3164.171106
s4h20,3356.934466
s4h21,3368.686085
s5h1,109019.13
s5h2,103458.7347
s5h3,94797.38286
s5h4,98056.45753
s5h5,84733.57204
s5h6,72357.63092
s5h7,79950.00806
s5h8,103848.5477
s5h9,99341.38084
s5h10,93625.35995
s5h11,93677.21218
s5h12,82008.68386
s5h13,72750.98563
s5h14,80265.64009
s5h15,102927.7693
s5h16,97533.16728
s5h17,90523.01429
s5h18,93415.99391
s5h19,82337.27224
s5h20,72399.55592
s5h21,80320.98918
s6h1,122899.93235958005
s6h2,121339.88346790476
s6h3,121834.38999581033
s6h4,121074.40767949
s6h5,112720.04512972858
s6h6,88131.99660945132
s6h7,101957.1006216534
s6h8,124007.71194505815
s6h9,121635.94953290779
s6h10,120997.8812478327
s6h11,120678.89133637678
s6h12,111736.77356654778
s6h13,86893.4317120576
s6h14,101181.0750318717
s6h15,123017.58395039804
s6h16,120527.14051376286
s6h17,119807.47386073037
s6h18,119425.84815126733
s6h19,110431.0082383316
s6h20,85536.16246290502
s6h21,99780.78072759404
s7h1,119973.54429984943
s7h2,98316.1004005473
s7h3,92448.07297003234
s7h4,96098.44795615089
s7h5,125750.39808207969
s7h6,149888.93409384802
s7h7,195050.6789349796
s7h8,116949.16230842494
s7h9,95291.71840912281
s7h10,89423.69097860786
s7h11,93074.06596472641
s7h12,122726.0160906552
s7h13,146864.55210242353
s7h14,192026.2969435551
s7h15,113924.78031700043
s7h16,92267.3364176983
s7h17,86399.30898718335
s7h18,90049.6839733019
s7h19,119701.6340992307
s7h20,143840.17011099905
s7h21,189001.9149521306
s8h1,204753.84713826788
s8h2,191144.31934148338
s8h3,181023.4424711983
s8h4,186904.08501670972
s8h5,198226.19345488926
s8h6,220603.70696181903
s8h7,237938.15842650615
s8h8,189338.97937819638
s8h9,180930.14126059346
s8h10,173788.7601687403
s8h11,180191.32864542212
s8h12,191276.14619607598
s8h13,214487.93270575063
s8h14,231347.4138198114
s8h15,183908.8226087384
s8h16,176079.5046298859
s8h17,169345.34088733618
s8h18,176091.76188437158
s8h19,187476.14045740248
s8h20,210962.1737461534
s8h21,228071.29999820993
s9h1,185937.1829
s9h2,170796.3607
s9h3,180482.0273
s9h4,175607.431
s9h5,165002.017
s9h6,172140.6197
s9h7,186092.9057
s9h8,184886.115
s9h9,170499.232
s9h10,173129.5393
s9h11,173929.4206
s9h12,164321.0187
s9h13,160135.3623
s9h14,185588.4139
s9h15,183783.6441
s9h16,173268.4319
s9h17,180032.2958
s9h18,176868.5734
s9h19,161400.6973
s9h20,163646.7813
s9h21,176976.6539
s10h1,66883.0
s10h2,66479.0
s10h3,66562.0
s10h4,67110.0
s10h5,66384.5
s10h6,66384.5
s10h7,65676.0
s10h8,66883.0
s10h9,66479.0
s10h10,66562.0
s10h11,67110.0
s10h12,66384.5
s10h13,66384.5
s10h14,65676.0
s10h15,66883.0
s10h16,66479.0
s10h17,66562.0
s10h18,67110.0
s10h19,66384.5
s10h20,66384.5
s10h21,65676.0
s11h1,24608.331878726658
s11h2,25238.88958545973
s11h3,24594.947320232794
s11h4,24148.499933529834
s11h5,23759.88483942016
s11h6,23910.55694863097
s11h7,24033.88675443599
s11h8,25264.430214652297
s11h9,25849.47949636254
s11h10,24878.59341776059
s11h11,24442.4750347154
s11h12,23895.18702086833
s11h13,23837.68996439304
s11h14,23941.7407540919
s11h15,25256.93470897586
s11h16,25866.998681123245
s11h17,24905.33222884918
s11h18,24471.202566912438
s11h19,23924.961202151724
s11h20,23868.29738249549
s11h21,23970.423377769424
s12h1,30485.05539536979
s12h2,29849.35930113363
s12h3,30435.086723742344
s12h4,29899.03890059086
s12h5,28394.37637186014
s12h6,28816.48624493652
s12h7,28580.270985225066
s12h8,31015.617999087113
s12h9,30137.692686512815
s12h10,30636.13828732675
s12h11,30077.894267691358
s12h12,28551.682443229005
