Id,forecasts
s1h1,248338.2235
s1h2,237634.0445
s1h3,227074.6558
s1h4,238422.241
s1h5,240357.7384
s1h6,238342.7334
s1h7,268385.1812
s1h8,239541.8568
s1h9,231095.3955
s1h10,222088.9325
s1h11,232733.7055
s1h12,235646.8548
s1h13,234639.1254
s1h14,265947.6628
s1h15,236735.0064
s1h16,228144.4561
s1h17,219096.0089
s1h18,229734.5122
s1h19,232645.4545
s1h20,231644.5393
s1h21,261727.1198
s2h1,362086.1406
s2h2,324102.4135
s2h3,315218.2975
s2h4,328205.4687
s2h5,328855.9929
s2h6,335100.7926
s2h7,372611.4428
s2h8,351863.1466
s2h9,316402.9085
s2h10,318096.0988
s2h11,320400.7938
s2h12,313257.9822
s2h13,328294.0406
s2h14,367763.0452
s2h15,341821.2013
s2h16,316019.9604
s2h17,310221.8741
s2h18,309557.7151
s2h19,298582.3771
s2h20,314131.4083
s2h21,349679.198
s3h1,2724.23261
s3h2,2720.63004
s3h3,2599.085316
s3h4,2492.227209
s3h5,2757.447887
s3h6,2884.190591
s3h7,2789.718652
s3h8,2773.820109
s3h9,2670.870404
s3h10,2614.051829
s3h11,2534.334605
s3h12,2769.573445
s3h13,2831.833967
s3h14,2639.407952
s3h15,2701.100887
s3h16,2731.407194
s3h17,2658.50684
s3h18,2545.038743
s3h19,2800.112907
s3h20,2861.435259
s3h21,2784.537575
s4h1,3486.789187
s4h2,3400.611579
s4h3,3130.519078
s4h4,2915.744531
s4h5,3170.9013
s4h6,3430.154982
s4h7,3318.808611
s4h8,3428.999577
s4h9,3189.201302
s4h10,3048.417465
s4h11,2989.053638
s4h12,3227.536501
s4h13,3377.540978
s4h14,3273.845895
s4h15,3340.195178
s4h16,3244.300425
s4h17,3123.014831
s4h18,2884.934331
s4h19,3164.171106
s4h20,3356.934466
s4h21,3368.686085
s5h1,109019.13
s5h2,103458.7347
s5h3,94797.38286
s5h4,98056.45753
s5h5,84733.57204
s5h6,72357.63092
s5h7,79950.00806
s5h8,103848.5477
s5h9,99341.38084
s5h10,93625.35995
s5h11,93677.21218
s5h12,82008.68386
s5h13,72750.98563
s5h14,80265.64009
s5h15,102927.7693
s5h16,97533.16728
s5h17,90523.01429
s5h18,93415.99391
s5h19,82337.27224
s5h20,72399.55592
s5h21,80320.98918
s6h1,122899.9324
s6h2,121339.8835
s6h3,121834.39
s6h4,121074.4077
s6h5,112720.0451
s6h6,88131.99661
s6h7,101957.1006
s6h8,124007.7119
s6h9,121635.9495
s6h10,120997.8812
s6h11,120678.8913
s6h12,111736.7736
s6h13,86893.43171
s6h14,101181.075
s6h15,123017.584
s6h16,120527.1405
s6h17,119807.4739
s6h18,119425.8482
s6h19,110431.0082
s6h20,85536.16246
s6h21,99780.78073
s7h1,119973.5443
s7h2,98316.1004
s7h3,92448.07297
s7h4,96098.44796
s7h5,125750.3981
s7h6,149888.9341
s7h7,195050.6789
s7h8,116949.1623
s7h9,95291.71841
s7h10,89423.69098
s7h11,93074.06596
s7h12,122726.0161
s7h13,146864.5521
s7h14,192026.2969
s7h15,113924.7803
s7h16,92267.33642
s7h17,86399.30899
s7h18,90049.68397
s7h19,119701.6341
s7h20,143840.1701
s7h21,189001.915
s8h1,204753.8471
s8h2,191144.3193
s8h3,181023.4425
s8h4,186904.085
s8h5,198226.1935
s8h6,220603.707
s8h7,237938.1584
s8h8,189338.9794
s8h9,180930.1413
s8h10,173788.7602
s8h11,180191.3286
s8h12,191276.1462
s8h13,214487.9327
s8h14,231347.4138
s8h15,183908.8226
s8h16,176079.5046
s8h17,169345.3409
s8h18,176091.7619
s8h19,187476.1405
s8h20,210962.1737
s8h21,228071.3
s9h1,185937.1829
s9h2,170796.3607
s9h3,180482.0273
s9h4,175607.431
s9h5,165002.017
s9h6,172140.6197
s9h7,186092.9057
s9h8,184886.115
s9h9,170499.232
s9h10,173129.5393
s9h11,173929.4206
s9h12,164321.0187
s9h13,160135.3623
s9h14,185588.4139
s9h15,183783.6441
s9h16,173268.4319
s9h17,180032.2958
s9h18,176868.5734
s9h19,161400.6973
s9h20,163646.7813
s9h21,176976.6539
s10h1,66883
s10h2,66479
s10h3,66562
s10h4,67110
s10h5,66384.5
s10h6,66384.5
s10h7,65676
s10h8,66883
s10h9,66479
s10h10,66562
s10h11,67110
s10h12,66384.5
s10h13,66384.5
s10h14,65676
s10h15,66883
s10h16,66479
s10h17,66562
s10h18,67110
s10h19,66384.5
s10h20,66384.5
s10h21,65676
s11h1,24608.33188
s11h2,25238.88959
s11h3,24594.94732
s11h4,24148.49993
s11h5,23759.88484
s11h6,23910.55695
s11h7,24033.88675
s11h8,25264.43021
s11h9,25849.4795
s11h10,24878.59342
s11h11,24442.47503
s11h12,23895.18702
s11h13,23837.68996
s11h14,23941.74075
s11h15,25256.93471
s11h16,25866.99868
s11h17,24905.33223
s11h18,24471.20257
s11h19,23924.9612
s11h20,23868.29738
s11h21,23970.42338
s12h1,30485.0554
