Id,forecasts
s1h1,247256.85
s1h2,247256.85
s1h3,247256.85
s1h4,247256.85
s1h5,247256.85
s1h6,247256.85
s1h7,247256.85
s1h8,247256.85
s1h9,247256.85
s1h10,247256.85
s1h11,247256.85
s1h12,247256.85
s1h13,247256.85
s1h14,247256.85
s1h15,247256.85
s1h16,247256.85
s1h17,247256.85
s1h18,247256.85
s1h19,247256.85
s1h20,247256.85
s1h21,247256.85
s2h1,337782.6
s2h2,337782.6
s2h3,337782.6
s2h4,337782.6
s2h5,337782.6
s2h6,337782.6
s2h7,337782.6
s2h8,337782.6
s2h9,337782.6
s2h10,337782.6
s2h11,337782.6
s2h12,337782.6
s2h13,337782.6
s2h14,337782.6
s2h15,337782.6
s2h16,337782.6
s2h17,337782.6
s2h18,337782.6
s2h19,337782.6
s2h20,337782.6
s2h21,337782.6
s3h1,2832.95
s3h2,2832.95
s3h3,2832.95
s3h4,2832.95
s3h5,2832.95
s3h6,2832.95
s3h7,2832.95
s3h8,2832.95
s3h9,2832.95
s3h10,2832.95
s3h11,2832.95
s3h12,2832.95
s3h13,2832.95
s3h14,2832.95
s3h15,2832.95
s3h16,2832.95
s3h17,2832.95
s3h18,2832.95
s3h19,2832.95
s3h20,2832.95
s3h21,2832.95
s4h1,3321.05
s4h2,3321.05
s4h3,3321.05
s4h4,3321.05
s4h5,3321.05
s4h6,3321.05
s4h7,3321.05
s4h8,3321.05
s4h9,3321.05
s4h10,3321.05
s4h11,3321.05
s4h12,3321.05
s4h13,3321.05
s4h14,3321.05
s4h15,3321.05
s4h16,3321.05
s4h17,3321.05
s4h18,3321.05
s4h19,3321.05
s4h20,3321.05
s4h21,3321.05
s5h1,86841.3
s5h2,86841.3
s5h3,86841.3
s5h4,86841.3
s5h5,86841.3
s5h6,86841.3
s5h7,86841.3
s5h8,86841.3
s5h9,86841.3
s5h10,86841.3
s5h11,86841.3
s5h12,86841.3
s5h13,86841.3
s5h14,86841.3
s5h15,86841.3
s5h16,86841.3
s5h17,86841.3
s5h18,86841.3
s5h19,86841.3
s5h20,86841.3
s5h21,86841.3
s6h1,115583.0
s6h2,115583.0
s6h3,115583.0
s6h4,115583.0
s6h5,115583.0
s6h6,115583.0
s6h7,115583.0
s6h8,115583.0
s6h9,115583.0
s6h10,115583.0
s6h11,115583.0
s6h12,115583.0
s6h13,115583.0
s6h14,115583.0
s6h15,115583.0
s6h16,115583.0
s6h17,115583.0
s6h18,115583.0
s6h19,115583.0
s6h20,115583.0
s6h21,115583.0
s7h1,140530.45
s7h2,140530.45
s7h3,140530.45
s7h4,140530.45
s7h5,140530.45
s7h6,140530.45
s7h7,140530.45
s7h8,140530.45
s7h9,140530.45
s7h10,140530.45
s7h11,140530.45
s7h12,140530.45
s7h13,140530.45
s7h14,140530.45
s7h15,140530.45
s7h16,140530.45
s7h17,140530.45
s7h18,140530.45
s7h19,140530.45
s7h20,140530.45
s7h21,140530.45
s8h1,185467.9
s8h2,185467.9
s8h3,185467.9
s8h4,185467.9
s8h5,185467.9
s8h6,185467.9
s8h7,185467.9
s8h8,185467.9
s8h9,185467.9
s8h10,185467.9
s8h11,185467.9
s8h12,185467.9
s8h13,185467.9
s8h14,185467.9
s8h15,185467.9
s8h16,185467.9
s8h17,185467.9
s8h18,185467.9
s8h19,185467.9
s8h20,185467.9
s8h21,185467.9
s9h1,179443.9
s9h2,179443.9
s9h3,179443.9
s9h4,179443.9
s9h5,179443.9
s9h6,179443.9
s9h7,179443.9
s9h8,179443.9
s9h9,179443.9
s9h10,179443.9
s9h11,179443.9
s9h12,179443.9
s9h13,179443.9
s9h14,179443.9
s9h15,179443.9
s9h16,179443.9
s9h17,179443.9
s9h18,179443.9
s9h19,179443.9
s9h20,179443.9
s9h21,179443.9
s10h1,66695.55
s10h2,66695.55
s10h3,66695.55
s10h4,66695.55
s10h5,66695.55
s10h6,66695.55
s10h7,66695.55
s10h8,66695.55
s10h9,66695.55
s10h10,66695.55
s10h11,66695.55
s10h12,66695.55
s10h13,66695.55
s10h14,66695.55
s10h15,66695.55
s10h16,66695.55
s10h17,66695.55
s10h18,66695.55
s10h19,66695.55
s10h20,66695.55
s10h21,66695.55
s11h1,24283.3
s11h2,24283.3
s11h3,24283.3
s11h4,24283.3
s11h5,24283.3
s11h6,24283.3
s11h7,24283.3
s11h8,24283.3
s11h9,24283.3
s11h10,24283.3
s11h11,24283.3
s11h12,24283.3
s11h13,24283.3
s11h14,24283.3
s11h15,24283.3
s11h16,24283.3
s11h17,24283.3
s11h18,24283.3
s11h19,24283.3
s11h20,24283.3
s11h21,24283.3
s12h1,30322.3
s12h2,30322.3
s12h3,30322.3
s12h4,30322.3
s12h5,30322.3
s12h6,30322.3
s12h7,30322.3
s12h8,30322.3
s12h9,30322.3
s12h10,30322.3
s12h11,30322.3
s12h12,30322.3
s12h13,30322.3
s12h14,30322.3
s12h15,30322.3
s12h16,30322.3
s12h17,30322.3
s12h18,30322.3
s12h19,30322.3
s12h20,30322.3
s12h21,30322.3
s13h1,540370.6
s13h2,540370.6
s13h3,540370.6
s13h4,540370.6
s13h5,540370.6
s13h6,540370.6
s13h7,540370.6
s13h8,540370.6
s13h9,540370.6
s13h10,540370.6
