Id,forecasts
s1h1,248338.2235211861
s1h2,237634.04451084373
s1h3,227074.6558342839
s1h4,238422.24104552128
s1h5,240357.73838162422
s1h6,238342.73335598223
s1h7,268385.1812494091
s1h8,239541.8567638144
s1h9,231095.39546137955
s1h10,222088.93254130534
s1h11,232733.70547689186
s1h12,235646.85476538003
s1h13,234639.12537340375
s1h14,265947.66276461387
s1h15,236735.00635459286
s1h16,228144.45607264928
s1h17,219096.00885908073
s1h18,229734.5122066131
s1h19,232645.4545006947
s1h20,231644.53933248273
s1h21,261727.11982141127
s2h1,328180.3769836642
s2h2,317087.0125254474
s2h3,297838.33762371965
s2h4,333966.54958075506
s2h5,315936.443097016
s2h6,327291.02877819963
s2h7,327706.4291599621
s2h8,322681.95153304876
s2h9,282927.58422244934
s2h10,277488.7260597354
s2h11,324085.8236650457
s2h12,318845.3139038993
s2h13,312686.1247232608
s2h14,337236.5697635544
s2h15,310681.9043677232
s2h16,285129.0533095444
s2h17,249654.21976861937
s2h18,276594.3845360382
s2h19,294493.6632367153
s2h20,294990.9273685468
s2h21,332251.00951221265
s3h1,2829.286481373272
s3h2,2831.2613855218538
s3h3,2683.8753861024243
s3h4,2677.5728203227673
s3h5,2805.8714194760973
s3h6,3391.818345324986
s3h7,2932.8140340007503
s3h8,3226.226175670277
s3h9,3112.4050701344095
s3h10,2923.9701312351444
s3h11,2870.9640497666023
s3h12,2982.771572650448
s3h13,3586.922882715183
s3h14,3156.360087102048
s3h15,3314.724912054808
s3h16,3233.707002289874
s3h17,3051.1209424339086
s3h18,3019.894260714008
s3h19,3131.5181522763646
s3h20,3702.5640566521656
s3h21,3189.1467567478494
s4h1,3497.6581924274437
s4h2,3424.5916934222414
s4h3,3233.4222420346846
s4h4,3206.2281627830357
s4h5,3372.1161021253
s4h6,4094.4457816065265
s4h7,3602.000890386166
s4h8,3720.4716085131067
s4h9,3600.6640454468397
s4h10,3392.4291331158124
s4h11,3352.4792728565503
s4h12,3580.9683704772597
s4h13,4270.664168991292
s4h14,3761.6233921467583
s4h15,3870.4517904824233
s4h16,3744.851192650925
s4h17,3531.3706371440653
s4h18,3540.064470171792
s4h19,3679.7526935503993
s4h20,4378.383532591959
s4h21,3873.2715718540876
s5h1,104844.77269059027
s5h2,98068.22254545218
s5h3,93673.3107770247
s5h4,89952.6455967257
s5h5,84215.45461711193
s5h6,68614.20697819667
s5h7,83901.76673936521
s5h8,102270.59385586927
s5h9,95369.21801774767
s5h10,91202.77136870084
s5h11,87632.66946533519
s5h12,81944.97928148862
s5h13,66338.73600425845
s5h14,81730.12366870692
s5h15,100155.72920306108
s5h16,93302.10744763419
s5h17,89182.26043541331
s5h18,85656.07590289651
s5h19,80006.99097398766
s5h20,64436.932408252236
s5h21,79862.80286799083
s6h1,122899.93235958005
s6h2,121339.88346790476
s6h3,121834.38999581033
s6h4,121074.40767949
s6h5,112720.04512972858
s6h6,88131.99660945132
s6h7,101957.1006216534
s6h8,124007.71194505815
s6h9,121635.94953290779
s6h10,120997.8812478327
s6h11,120678.89133637678
s6h12,111736.77356654778
s6h13,86893.4317120576
s6h14,101181.0750318717
s6h15,123017.58395039804
s6h16,120527.14051376286
s6h17,119807.47386073037
s6h18,119425.84815126733
s6h19,110431.0082383316
s6h20,85536.16246290502
s6h21,99780.78072759404
s7h1,124400.00506029665
s7h2,114681.47670938703
s7h3,105417.32838083063
s7h4,116687.5624977945
s7h5,138924.6237082019
s7h6,159708.78279151372
s7h7,177224.6340466474
s7h8,128136.55545588503
s7h9,115278.16113633035
s7h10,105989.45927229036
s7h11,116174.048418612
s7h12,140030.6636333549
s7h13,160527.53241214628
s7h14,178304.82615531475
s7h15,128628.81067837846
s7h16,115578.02000613019
s7h17,106192.621126082
s7h18,116302.24635839203
s7h19,140090.79776005508
s7h20,160526.59487828275
s7h21,178252.584529096
s8h1,204753.84713826788
s8h2,191144.31934148338
s8h3,181023.4424711983
s8h4,186904.08501670972
s8h5,198226.19345488926
s8h6,220603.70696181903
s8h7,237938.15842650615
s8h8,189338.97937819638
s8h9,180930.14126059346
s8h10,173788.7601687403
s8h11,180191.32864542212
s8h12,191276.14619607598
s8h13,214487.93270575063
s8h14,231347.4138198114
s8h15,183908.8226087384
s8h16,176079.5046298859
s8h17,169345.34088733618
s8h18,176091.76188437158
s8h19,187476.14045740248
s8h20,210962.1737461534
s8h21,228071.29999820993
s9h1,207742.5391449089
s9h2,175465.16100788832
s9h3,183498.58239594716
s9h4,208273.3819266804
s9h5,181374.67398804202
s9h6,173614.74587195838
s9h7,224590.21896786906
s9h8,231817.76532048255
s9h9,197421.11880804325
s9h10,205675.11768991023
s9h11,230595.67854031027
s9h12,201374.658185659
s9h13,192472.56456262816
s9h14,244466.4825295056
s9h15,250167.15660485256
s9h16,215001.69823800787
s9h17,222591.90302466525
s9h18,246810.38249060026
s9h19,216983.3729146105
s9h20,207463.7459919701
s9h21,258838.41260203684
s10h1,69004.64013283436
s10h2,68807.83018909993
s10h3,68866.61430621556
s10h4,67826.42937336318
s10h5,65519.555808400066
s10h6,63600.4157710637
s10h7,64078.48964081626
s10h8,67881.57418330645
s10h9,67892.19431441891
s10h10,68076.42851593344
s10h11,67052.46092393856
s10h12,64750.34457707831
s10h13,62807.436642422144
s10h14,63393.60117277782
s10h15,67265.0005928624
s10h16,67324.29780041693
s10h17,67546.78563408904
s10h18,66555.78247219586
s10h19,64281.078694885924
s10h20,62361.6426403669
s10h21,62967.25225199923
s11h1,24608.331878726658
s11h2,25238.88958545973
s11h3,24594.947320232794
s11h4,24148.499933529834
s11h5,23759.88483942016
s11h6,23910.55694863097
s11h7,24033.88675443599
s11h8,25264.430214652297
s11h9,25849.47949636254
s11h10,24878.59341776059
