Id,forecasts
s1h1,
s1h2,
s1h3,
s1h4,
s1h5,
s1h6,
s1h7,
s1h8,
s1h9,
s1h10,
s1h11,
s1h12,
s1h13,
s1h14,
s1h15,
s1h16,
s1h17,
s1h18,
s1h19,
s1h20,
s1h21,
s2h1,
s2h2,
s2h3,
s2h4,
s2h5,
s2h6,
s2h7,
s2h8,
s2h9,
s2h10,
s2h11,
s2h12,
s2h13,
s2h14,
s2h15,
s2h16,
s2h17,
s2h18,
s2h19,
s2h20,
s2h21,
s3h1,
s3h2,
s3h3,
s3h4,
s3h5,
s3h6,
s3h7,
s3h8,
s3h9,
s3h10,
s3h11,
s3h12,
s3h13,
s3h14,
s3h15,
s3h16,
s3h17,
s3h18,
s3h19,
s3h20,
s3h21,
s4h1,
s4h2,
s4h3,
s4h4,
s4h5,
s4h6,
s4h7,
s4h8,
s4h9,
s4h10,
s4h11,
s4h12,
s4h13,
s4h14,
s4h15,
s4h16,
s4h17,
s4h18,
s4h19,
s4h20,
s4h21,
s5h1,
s5h2,
s5h3,
s5h4,
s5h5,
s5h6,
s5h7,
s5h8,
s5h9,
s5h10,
s5h11,
s5h12,
s5h13,
s5h14,
s5h15,
s5h16,
s5h17,
s5h18,
s5h19,
s5h20,
s5h21,
s6h1,
s6h2,
s6h3,
s6h4,
s6h5,
s6h6,
s6h7,
s6h8,
s6h9,
s6h10,
s6h11,
s6h12,
s6h13,
s6h14,
s6h15,
s6h16,
s6h17,
s6h18,
s6h19,
s6h20,
s6h21,
s7h1,
s7h2,
s7h3,
s7h4,
s7h5,
s7h6,
s7h7,
s7h8,
s7h9,
s7h10,
s7h11,
s7h12,
s7h13,
s7h14,
s7h15,
s7h16,
s7h17,
s7h18,
s7h19,
s7h20,
s7h21,
s8h1,
s8h2,
s8h3,
s8h4,
s8h5,
s8h6,
s8h7,
s8h8,
s8h9,
s8h10,
s8h11,
s8h12,
s8h13,
s8h14,
s8h15,
s8h16,
s8h17,
s8h18,
s8h19,
s8h20,
s8h21,
s9h1,
s9h2,
s9h3,
s9h4,
s9h5,
s9h6,
s9h7,
s9h8,
s9h9,
s9h10,
s9h11,
s9h12,
s9h13,
s9h14,
s9h15,
s9h16,
s9h17,
s9h18,
s9h19,
s9h20,
s9h21,
s10h1,
s10h2,
s10h3,
s10h4,
s10h5,
s10h6,
s10h7,
s10h8,
s10h9,
s10h10,
s10h11,
s10h12,
s10h13,
s10h14,
s10h15,
s10h16,
s10h17,
s10h18,
s10h19,
s10h20,
s10h21,
s11h1,
s11h2,
s11h3,
s11h4,
s11h5,
s11h6,
s11h7,
s11h8,
s11h9,
s11h10,
s11h11,
s11h12,
s11h13,
s11h14,
s11h15,
s11h16,
s11h17,
s11h18,
s11h19,
s11h20,
s11h21,
s12h1,
s12h2,
s12h3,
s12h4,
s12h5,
s12h6,
s12h7,
s12h8,
s12h9,
s12h10,
s12h11,
s12h12,
s12h13,
s12h14,
s12h15,
s12h16,
s12h17,
s12h18,
s12h19,
s12h20,
s12h21,
s13h1,
s13h2,
s13h3,
s13h4,
s13h5,
s13h6,
s13h7,
s13h8,
s13h9,
s13h10,
s13h11,
s13h12,
s13h13,
s13h14,
s13h15,
s13h16,
s13h17,
s13h18,
s13h19,
s13h20,
s13h21,
s14h1,
s14h2,
s14h3,
s14h4,
s14h5,
s14h6,
s14h7,
s14h8,
s14h9,
s14h10,
s14h11,
s14h12,
s14h13,
s14h14,
s14h15,
s14h16,
s14h17,
s14h18,
s14h19,
s14h20,
s14h21,
s15h1,
s15h2,
s15h3,
s15h4,
s15h5,
s15h6,
s15h7,
s15h8,
s15h9,
s15h10,
s15h11,
s15h12,
s15h13,
s15h14,
s15h15,
s15h16,
s15h17,
s15h18,
s15h19,
s15h20,
s15h21,
s16h1,
s16h2,
s16h3,
s16h4,
s16h5,
s16h6,
s16h7,
s16h8,
s16h9,
s16h10,
s16h11,
s16h12,
s16h13,
s16h14,
s16h15,
s16h16,
s16h17,
s16h18,
s16h19,
s16h20,
s16h21,
s17h1,
s17h2,
s17h3,
s17h4,
s17h5,
s17h6,
s17h7,
s17h8,
s17h9,
s17h10,
s17h11,
s17h12,
s17h13,
s17h14,
s17h15,
s17h16,
s17h17,
s17h18,
s17h19,
s17h20,
s17h21,
s18h1,
s18h2,
s18h3,
s18h4,
s18h5,
s18h6,
s18h7,
s18h8,
s18h9,
s18h10,
s18h11,
s18h12,
s18h13,
s18h14,
s18h15,
s18h16,
s18h17,
s18h18,
s18h19,
s18h20,
s18h21,
s19h1,
s19h2,
s19h3,
s19h4,
s19h5,
s19h6,
s19h7,
s19h8,
s19h9,
s19h10,
s19h11,
s19h12,
s19h13,
s19h14,
s19h15,
s19h16,
s19h17,
s19h18,
s19h19,
s19h20,
s19h21,
s20h1,35654.405115161724
s20h2,34245.56517831219
s20h3,33550.937296242155
s20h4,34210.90278772853
s20h5,29839.306093058975
s20h6,30483.285936744127
s20h7,31269.878126101
s20h8,29408.048242972873
s20h9,28084.238272930226
s20h10,27546.31370181939
s20h11,28430.31055515083
s20h12,25807.74853962213
s20h13,25713.62092893543
s20h14,25971.849669965763
s20h15,24645.64933267782
s20h16,24106.95125584685
